Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$1,925",36 Lee Centre Drive,M1H,1,1,750
"$2,400",11 Lee Centre Drive,M1H,2,2,875
"$2,700",70 Town Centre Court,M1P,2,2,850
"$2,200",7895 Jane Street,L4K,2,2,650
"$2,150",3700 Highway 7,L4L,1,1,650
"$2,300",3600 Highway 7,L4L,2,2,840
"$2,650",3600 Highway 7 West,L4L,2,2,800
"$1,975",7895 Jane Street,L4K,1,2,611
"$1,950",2916 Highway 7,L4K,1,1 ½,618
"$1,990",7900 Bathurst Street,L4J,1,1,650
"$1,900",2916 Highway 7,L4K,1,0 ½,550
"$2,200",2910 Highway 7,L4K,0 - 1,0 - 1 ½,702-750
"$2,300",2908 Highway 7,L4K,2,2,800899
"$2,000",2916 Highway 7,L4K,1,1 ½,630
"$2,000",7895 Jane Street,L4K,1,2,611
"$2,200",7895 Jane Street,L4K,2,2,750
"$1,750 - $2,000",7895 Jane Street,L4K,1 - 2,1 - 2,500-800
"$2,250",7895 Jane Street,L4K,2,2,649
"$2,100",7895 Jane Street,L4K,1,2,624
"$2,250",3700 Highway 7,L4L,1,1,650
"$1,900",3700 Highway 7,L4L,1,1,650
"$1,900",2916 Highway 7,L4K,1,1 ½,618
"$2,100",3700 Highway 7,L4L,1,1,650
"$2,450",7460 Bathurst Street,L4J,2,2,1100
"$2,295",7 North Park Road,L4J,1,1,599
"$2,000",7895 Jane Street,L4K,1,2,
"$2,150",3700 Highway 7,L4L,1,1,650
"$2,150",3700 Highway 7,L4L,1,1,650
"$2,150",2908 Highway 7,L4K,2,2,800
"$2,600",2916 Highway 7,L4K,2,2,878
"$2,195",5 Buttermill Avenue,L4K,2,2,638
"$2,500",3700 Highway 7,L4L,2,2,900
"$2,350",2908 Highway 7,L4K,2,2,800899
"$1,800",832 Bay Street,M5S,1,1,
"$2,650",600 Fleet Street,M5V,2,2,
"$1,825",80 Western Battery Road,M6K,1,1,
"$1,950",70 Temperance Street,M5H,1,1,477
"$2,100",50 Charles Street East,M4Y,1,1,743
"$3,500",45 Carlton Street,M5B,2,2,
"$2,700",1 Belsize Drive,M4S,2,2,795
"$1,800",115 Blue Jays Way,M5V,1,1,
"$2,175",75 Queens Wharf Road,M5V,1,1,600
"$2,100",5 Hanna Avenue,M6K,1,1 ½,
"$1,925",460 Adelaide Street East,M5A,1,1,
"$2,100",20 Bruyeres Mews,M5V,1,1,765
"$2,800",70 Temperance Street,M5H,2,2,750
"$1,900",508 Wellington Street West,M5V,1,1,
"$2,850",435 Richmond St W,M5V,2,2,790
"$2,750",103 The Queensway,M6S,2,2,
"$2,050",251 Jarvis Street,M5B,1,1,
"$2,800",10 Capreol Court,M5V,2,2,
"$2,200",15 Queens Quay East,M5E,1,1,
"$1,900",251 Jarvis Street,M5B,2,1,515
"$1,950",460 Adelaide Street East,M5A,1,1,
"$2,200",629 King Street West,M5V,1,1,600
"$2,500",38 Grenville Street,M4Y,1,1,700
"$5,500",29 Queens Quay East,M5E,2,2,1475
"$2,100",435 Richmond Street West,M5V,1,1,
"$2,000",426 University Avenue,M5G,1,1,
"$2,200",55 Bremner Boulevard,M5J,1,1,
"$2,050",628 Fleet Street,M5V,1,1,
"$2,000",251 Jarvis Street,M5B,1,1,527
"$2,200",19 Grand Trunk Crescent,M5J,1,1,
"$3,100",801 King Street West,M5V,2,2,850
"$2,100",120 Parliament Street,M5A,1,1,565
"$2,550",188 Eglinton Avenue East,M4P,2,1,1000
"$2,150",125 Peter Street,M5V,1,1,
"$2,800",19 Grand Trunk Crescent,M5J,2,2,773
"$1,850",30 Ordnance Street,M6K,1,1,565
"$2,250",3 Navy Wharf Court,M5V,1,1,693
"$1,950",15 Lower Jarvis Street,M5E,1,1,450
"$1,900",17 Dundonald Street,M4Y,1,1,
"$2,600",375 King Street West,M5V,1,1,
"$1,900",12 York Street,M5J,1,1,
"$2,200",650 King Street West,M5V,1,1,500
"$2,100",120 Bayview Avenue,M5A,1,1,525
"$2,300",8 Eglinton Avenue East,M4P,1,2,
"$2,300",464 Adelaide St E | Unit: 502,M5A,1,1,623
"$2,100",8 Eglinton Avenue East,M4P,1,1,
"$2,700",55 Bremner Boulevard,M5J,1,1,650
"$2,050",50 Bruyeres Mews,M5V,1,1,560
"$2,200",22 Leader Ln,M5E,1,1,500
"$2,295",1121 Bay Street,M5S,1,1,
"$3,300",35 Balmuto Street,None,2,2,905
"$2,050",101 Peter Street,M5V,1,1,
"$3,300",18 Harbour Street,M5J,2,2,902
"$2,000",181 Dundas Street East,M5A,1,1,
"$1,800",115 Blue Jays Way,M5V,1,1,
"$2,900",816 Lansdowne Avenue,M6H,2,2,985
"$2,495",300 Balliol Street,M4S,1,1,600
"$2,450",125 Blue Jays Way,M5V,1,1,630
"$2,000",80 Western Battery Road,M6K,1,1,441
"$2,875",197 Yonge Street,M5B,2,2,800
"$2,500",51 Lower Simcoe Street,M5J,1,1,700
"$2,200",352 Front Street West,M5V,1,1,710
"$2,200",90 Queens Wharf Road,M5V,1,1,
"$2,200",197 Yonge Street,M5B,1,1,
"$2,250",251 Jarvis Street,M5B,2,1,572
"$2,400",16 Laidlaw Street,M6K,1,0 ½,690
"$2,795",1030 King Street West,M6K,2,2,750
"$2,200",75 Queens Wharf Road,M5V,2,1,673
"$2,700",10 Capreol Court,M5V,2,2,750
"$2,350",85 East Liberty Street,M6K,1,1,
"$3,800",761 Bay Street,M5G,2,2,
"$2,000",120 Parliament Street,M5A,1,1,
"$2,200",50 Bruyeres Mews,M5V,1,1,550
"$3,000",85 Queens Wharf Road,M5V,2,2,808
"$2,280",15 Beverley Street,M5T,1,1,730
"$1,645",50 Bruyeres Mews,M5V,1,1,475
"$1,900",120 Parliament Street,M5A,1,1,490
"$3,200",38 Cameron Street,M5T,2,2,786
"$2,899",15 Iceboat Terrace,M5V,2,2,750
"$2,000",50 Charles Street East,M4Y,1,1,
"$1,890",42 Charles Street East,M4Y,1,1,
"$1,999",70 Temperance Street,M5H,1,1,372
"$2,550",1001 Bay Street,M5S,1,1,
"$3,950",25 The Esplanade,M5E,2,2,
"$2,495",300 Balliol Street,M4S,1,1,600
"$2,199",209 Fort York Boulevard,M5V,1,1,619
"$2,100",25 Telegram Mews,M5V,1,1,
"$2,300",438 Richmond Street West,M5V,1,1,680
"$2,250",140 Simcoe Street,M5H,1,1,580
"$2,900",16 Yonge Street,M5J,2,2,
"$2,300",770 Bay Street,M5G,1,1,
"$2,250",120 Bayview Avenue,M5A,1,2,647
"$1,950",231 Fort York Boulevard,M5V,1,1,670
"$4,150",89 Dunfield Avenue,None,2,2,
"$2,890",21 Iceboat Terrace,M5V,2,2,
"$2,350",14 York Street,M5J,1,1,529
"$2,295",170 Sudbury Street,M6J,2,1,700
"$2,050",83 Redpath Avenue,M4S,1,1,562
"$2,000",2131 Yonge Street,M4S,1,1,542
"$2,550",1055 Bay Street,M5S,1,1,
"$2,300",38 Stewart Street,M5V,1,1,546
"$2,200",Hillsdale Avenue East,None,1,1,543
"$3,400",215 Queen Street West,M5V,3,1,880
"$3,500",197 Yonge Street,M5B,3,2,882
"$3,200",11 Saint Joseph Street,M4Y,1,1,700
"$2,150",197 Yonge Street,M5B,2,1,730
"$2,150",15 Queens Quay East,M5E,1,1,600
"$2,100",50 Charles Street East,M4Y,1,1,
"$2,200",18 Yorkville Avenue,M4W,1,1,
"$2,150",12 Bonnycastle Street,M5A,1,1,
